,Name_left,AuthorId,PaperYear,PaperId,Year_paper,Name_right,CitesFrom,Year_citation,PaperCount
99,Rema Hanna,2131415545,2023,3215494203.0,2019.0,Rema Hanna,3035653940.0,2019.0,3504
96,Filip Matejka,3121417017,2023,3125302059.0,2021.0,Filip Matejka,3208077881.0,2021.0,66
94,Tomasz Strzalecki,64256269,2023,3131911343.0,2013.0,Tomasz Strzalecki,2552029694.0,2016.0,794
87,Katja Seim,1996677756,2023,3126094022.0,2007.0,Katja Seim,3208611133.0,2021.0,1436
85,Eric Gould,2725406544,2023,1548412249.0,1988.0,Eric Gould,3195951193.0,2015.0,24
83,Olivier Tercieux,1724808014,2023,3185805716.0,2021.0,Olivier Tercieux,3215060578.0,2021.0,454
121,Daniel Gottlieb,2620923405,2023,2029073550.0,1999.0,Daniel Gottlieb,3122903236.0,2021.0,46
81,Nageeb Ali,2265249790,2023,1586703245.0,2008.0,Nageeb Ali,3124674038.0,2012.0,5
71,Georgy Egorov,1937199215,2023,3182455424.0,2020.0,Georgy Egorov,3208540061.0,2021.0,1515
70,Sylvain Chassang,2798296736,2023,2124798478.0,2006.0,Sylvain Chassang,2413705588.0,2009.0,11
56,Patrick Francois,2834402848,2023,3105375456.0,2008.0,Patrick Francois,3098179128.0,2008.0,2815
36,Arnaud Costinot,70347822,2023,3140258360.0,2018.0,Arnaud Costinot,3174444407.0,2021.0,3512
34,Jens Ludwig,3173788326,2023,2131097820.0,1997.0,Jens Ludwig,2903533944.0,2018.0,33
29,Sebnem Kalemli-Ozcan,2614246165,2023,3206963339.0,2015.0,Sebnem Kalemli-Ozcan,3135313924.0,2021.0,8773
18,Juan Ortner,2660703863,2023,3170264070.0,2021.0,Juan Ortner,3160714751.0,2021.0,83
7,Karel Mertens,2119895532,2023,3204563287.0,2020.0,Karel Mertens,3113215753.0,2021.0,1364
72,David Atkin,1841802378,2023,3164226698.0,2020.0,David Atkin,3185331823.0,2021.0,642
245,Antonio Penta,2041988644,2023,2603989460.0,2017.0,Antonio Penta,2743775006.0,2017.0,289
122,Eduardo Azevedo,2615164602,2023,2007428788.0,2005.0,Eduardo Azevedo,2945524096.0,2009.0,52
141,Amanda Pallais,2063352339,2023,3135806055.0,2020.0,Amanda Pallais,3205050226.0,2021.0,736
216,Manuel Amador,2120698585,2023,3162829675.0,1995.0,Manuel Amador,2364162275.0,2016.0,110
210,Daniel Benjamin,2169356018,2023,1578220722.0,2012.0,Daniel Benjamin,2626200733.0,2018.0,14
209,Loukas Karabarbounis,283515383,2023,3199906481.0,2017.0,Loukas Karabarbounis,3197966657.0,2021.0,2419
201,Pietro Ortoleva,2136818508,2023,3181992612.0,2021.0,Pietro Ortoleva,3215068513.0,2021.0,832
196,Ronny Razin,2266771342,2023,3130156297.0,2018.0,Ronny Razin,3015197213.0,2019.0,638
190,Isaiah Andrews,1983061563,2023,3151471435.0,2019.0,Isaiah Andrews,3211938716.0,2021.0,362
181,Aimee Chin,2140151107,2023,3125853672.0,2010.0,Aimee Chin,2188444293.0,2011.0,1301
180,Eduardo Perez-Richet,270469976,2023,3161914587.0,2018.0,Eduardo Perez-Richet,3140129552.0,2021.0,128
176,Chinhui Juhn,111621633,2023,3142986942.0,2015.0,Chinhui Juhn,3131101520.0,2021.0,4621
